question,kill_reason
Will Congo DR win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Colombia win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Croatia win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Ghana win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Portugal win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Mexico win the 2026 FIFA World Cup?,SPORTS — excluded category
Will England win the 2026 FIFA World Cup?,SPORTS — excluded category
Will the Iranian regime fall by June 30?,EXTREME PRICE — yes=0.00 (no edge)
Will Czechia win on 2026-06-18?,TOO CLOSE — resolves in under 1 day
Will Argentina win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Austria win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Belete Molla be the next Prime Minister of Ethiopia?,TOO CLOSE — resolves in under 1 day
Will Scotland win the 2026 FIFA World Cup?,SPORTS — excluded category
Will South Korea win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Spain win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Norway win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Netherlands win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Algeria win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Berhanu Nega be the next Prime Minister of Ethiopia?,TOO CLOSE — resolves in under 1 day
Will Sweden win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Turkiye win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Japan win the 2026 FIFA World Cup?,SPORTS — excluded category
Will France win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Morocco win the 2026 FIFA World Cup?,SPORTS — excluded category
Will USA win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Senegal win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Cape Verde win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Bukayo Saka be the top goalscorer at the 2026 FIFA World Cup?,SPORTS — excluded category
Will Ecuador win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Egypt win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Belgium win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Oceania (OCF) win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Uruguay win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Germany win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Australia win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Iran close its airspace by June 30?,EXTREME PRICE — yes=1.00 (no edge)
Will the text of the US-Iran agreement be released by June 16? ,TOO CLOSE — resolves in under 1 day
Will Canada win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Ivory Coast win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Switzerland win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Gedion Timothewos be the next Prime Minister of Ethiopia?,TOO CLOSE — resolves in under 1 day
Will the text of the US-Iran agreement be released by June 17?,TOO CLOSE — resolves in under 1 day
Will Paraguay win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Czechia win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Bosnia-Herzegovina win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Saudi Arabia win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Brazil win the 2026 FIFA World Cup?,SPORTS — excluded category
Will Jalen Brunson win the 2028 US Presidential Election?,TOO FAR — resolves in over 365 days
Will Qatar win the 2026 FIFA World Cup?,SPORTS — excluded category
"US x Iran diplomatic meeting by June 19, 2026?",TOO CLOSE — resolves in under 1 day
Will Rebecca Shepherd win the 2026 Makerfield by-election?,TOO FAR — resolves in over 365 days
Czechia vs. South Africa: O/U 2.5,TOO CLOSE — resolves in under 1 day
Will Canada win on 2026-06-18?,TOO CLOSE — resolves in under 1 day
Will Tom Kim win the 2026 U.S. Open?,EXTREME PRICE — yes=0.01 (no edge)
"US x Iran diplomatic meeting by June 30, 2026?",TOO CLOSE — resolves in under 1 day
Will John Fetterman win the 2028 Democratic presidential nomination?,TOO FAR — resolves in over 365 days
Counter-Strike: Aurora Gaming vs BetBoom Team (BO3) - IEM Cologne Major Playoffs,SPORTS — excluded category
Will Andrew Novak win the 2026 U.S. Open?,EXTREME PRICE — yes=0.00 (no edge)
Strait of Hormuz traffic returns to normal by June 15?,TOO CLOSE — resolves in under 1 day
Will Mexico win on 2026-06-18?,TOO CLOSE — resolves in under 1 day
"US x Iran diplomatic meeting by June 15, 2026?",TOO CLOSE — resolves in under 1 day
Will the Fed increase interest rates by 50+ bps after the July 2026 meeting?,EXTREME PRICE — yes=0.00 (no edge)
"Will the price of Bitcoin be above $70,000 on June 18?",TOO CLOSE — resolves in under 1 day
Will Korea Republic win on 2026-06-18?,TOO CLOSE — resolves in under 1 day
"Will the price of Bitcoin be above $62,000 on June 18?",TOO CLOSE — resolves in under 1 day
Will the Fed decrease interest rates by 50+ bps after the July 2026 meeting?,EXTREME PRICE — yes=0.01 (no edge)
Bitcoin Up or Down on June 18?,TOO CLOSE — resolves in under 1 day
"Will the price of Bitcoin be above $60,000 on June 18?",TOO CLOSE — resolves in under 1 day
"US x Iran diplomatic meeting by June 17, 2026? ",TOO CLOSE — resolves in under 1 day
Will the text of the US-Iran agreement be released by June 30?,EXTREME PRICE — yes=1.00 (no edge)
Will Uzbekistan win the 2026 FIFA World Cup?,SPORTS — excluded category
"US x Iran diplomatic meeting by July 31, 2026?",TOO CLOSE — resolves in under 1 day
LoL: Dplus KIA Challengers vs T1 Academy - Game 1 Winner,SPORTS — excluded category
"Will the price of Bitcoin be above $58,000 on June 18?",TOO CLOSE — resolves in under 1 day
Will Elon Musk win the 2028 US Presidential Election?,TOO FAR — resolves in over 365 days
Will Roberto Sánchez Palomino win the 2026 Peruvian presidential election?,TOO CLOSE — resolves in under 1 day
Will Qatar win on 2026-06-18?,TOO CLOSE — resolves in under 1 day
Trump out as President by June 30?,EXTREME PRICE — yes=0.00 (no edge)
Will Robert Kenyon win the 2026 Makerfield by-election?,TOO FAR — resolves in over 365 days
Spread: Canada (-1.5),TOO CLOSE — resolves in under 1 day
